 Тег (H1),ID в админке,inlinks (Куда) Перелинковка,Верхняя перелинковка,Ссылка с главной,"Базовая частота ""W""","Базовая частота ""W"" в месяц",Наличие курсов,Стаус,Раздел,SEO,URL,Символьный код,Title,Description,H1,ТЗ на текст,Статус SEO,Текст,Статус вплетение интентов,Статус текст,Графика,Статус графики,Видео,КМ,Статус публикации,Проверяющий,Статус страницы,Коммментрий,Индексирование,Автор,ТЗ на улучшение,ID Родительского листинга,Outlinks (Откуда) Каталог,Inlinks (Куда) Каталог
Курсы директора по маркетингу,625,,"845,627,651,645,650,654,639,638,649",FALSE,3 120,260,TRUE,Активна,Менеджмент,,https://kursy.ru/menedzhment/direktor-po-marketingu/,direktor-po-marketingu,Курсы директора по маркетингу - обучение на руководителя отдела,Онлайн обучение по управлению маркетингом. Выберите для себя подходящую программу обучения. Получите высокооплачиваемую и востребованную должность.,Курсы директора по маркетингу,https://docs.google.com/document/d/1s6OQyHct2oXxm-k4ILzLimriexQcmlAYuZszMKuXz0Q/edit,Готово,https://docs.google.com/document/d/1whr0HpQ6UnJRONtJ5xjawBAN87FRyXZVilwQcaRE9Yk/edit,Не в работе,Готово,https://drive.google.com/file/d/1l_j-wJjGlV-wcmE8No8yFf3vDPNH42Pe/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,845,Курсы для руководителей,
Курсы помощника руководителя,639,,"627,613,645,650,654,625,638,649",FALSE,3 695,308,TRUE,Активна,Менеджмент,,https://kursy.ru/menedzhment/pomoschnik-rukovoditelya/,pomoschnik-rukovoditelya,Курсы помощника руководителя - обучение бизнес-ассистента,Онлайн-курсы помощника руководителя для начинающих. Ознакомьтесь с отзывами пользователя и выберите для себя подходящую программу обучения. Получите новую востребованную профессию бизнес-ассистента.,Курсы помощника руководителя,https://docs.google.com/document/d/1kb8qVeBi8n8okUHjqhhdw1C6Z-pZmYlD-hIw-L9wYnU/edit,Готово,https://docs.google.com/document/d/1dHapmS5ORJ7wOzolJZJQKig_wMEBLxrkclQBVRSClDE/edit,Не в работе,Готово,https://drive.google.com/file/d/1chQtM_S-ZJXCAbJxiXoVb9pbJdOIh9FK/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,845,Курсы для руководителей,
Курсы операционного менеджмента,638,,,FALSE,1 214,101,TRUE,Активна,Менеджмент,,https://kursy.ru/menedzhment/operatsionnyj-menedzhment/,operatsionnyj-menedzhment,Обучения операционному менеджменту - онлайн-курсы для бизнеса,Онлайн-обучение операционному менеджменту. Ознакомьтесь с отзывами пользователей и выберете подходящий курс. Получите востребованную и современную профессию.,Курсы по операционному менеджменту,https://docs.google.com/document/d/1EMcWkUCilAdzf6VBVQOLWta7h6kkpM2Wu9t1WqPlZ2g/edit,Готово,https://docs.google.com/document/d/1SzNDpIyIIBrxJ12b62kueqs_wOCv2HMNGmKPT53H644/edit,Не в работе,Готово,https://drive.google.com/file/d/1t4AZFRNzBlJIn0UdTufag2ijyh3MHmjq/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,845,Курсы для руководителей,
Курсы управления в дизайне,649,,,FALSE,110,9,TRUE,Активна,Менеджмент,,https://kursy.ru/menedzhment/menedzhment-v-dizajne/,menedzhment-v-dizajne,Обучение управлению в дизайне - курсы менеджмента онлайн,Онлайн-курсы управления в дизайне. Обучение востребованной профессии в лучших школах. Актуальные цены и отзывы от учеников.,Курсы по управлению в дизайне,https://docs.google.com/document/d/1_uYGlnVDqcnh6s9ecgiX1V-w-3vbrCkgfd8Xbj3VDpA/edit?usp=sharing,Готово,https://docs.google.com/document/d/12OMP5l_ScZU7IiTJaHyRDiboh8LeaSdc9U03b3NVesw/edit,Не в работе,Готово,https://drive.google.com/file/d/1arQE6gf3ToDF6pTMQ6GXivOCr_VRqqUy/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,845,Курсы для руководителей,
Курсы товароведа,852,,,,5 527,,TRUE,Активна,Менеджмент,Ваня Б,https://kursy.ru/menedzhment/tovaroved/,tovaroved,Курсы товароведа - обучение товароведению в [current_year] году,Рейтинг лучших курсов товароведа. Выберите подходящую программу дистанционного обучения. Сравнение условий и актуальные отзывы учеников.,Курсы товароведа,Курсы товароведа,Готово,Курсы товароведа.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,602,Курсы менеджмента и управления,
Курсы по обучению персонала,858,,,,13 488,,TRUE,Активна,Менеджмент,Ваня Б,https://kursy.ru/menedzhment/obuchenie-personala/,obuchenie-personala,Курсы по обучению персонала - онлайн-обучение,Онлайн-курсы по обучению персонала. Выберите подходящую программу обучения и получите востребованную профессию. Реальные отзывы от учеников и актуальные условия.,Курсы по обучению персонала,Курсы по обучению персонала,Готово,Курсы по обучению персонала.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,651,Курсы управления персоналом,
Курсы управления качеством,859,,,,5 270,,TRUE,Активна,Менеджмент,Ваня Б,https://kursy.ru/menedzhment/upravlenie-kachestvom/,upravlenie-kachestvom,Курсы управления качеством - онлайн-обучение в [current_year] году,Онлайн-курсы управления качеством. Ознакомьтесь с отзывами учеников и условиями дистанционного обучения. Станьте специалистом в сфере управления.,Курсы управления качеством,Курсы управления качеством,Готово,Курсы управления качеством.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,852,Курсы товароведа,
Курс менеджера по туризму,861,,,,3 977,,TRUE,Активна,Менеджмент,Ваня Б,https://kursy.ru/menedzhment/menedzher-po-turizmu/,menedzher-po-turizmu,Курсы менеджера по туризму - онлайн-обучение,Рейтинг лучших курсов менеджера по туризму. Выберите подходящую программу онлайн обучения. Сравнение условий и актуальные отзывы учеников.,Курсы менеджер по туризму,Курсы менеджера по туризму,Готово,Курсы менеджеров по туризму.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,629,Обучение по клиентскому сервису,
Обучение B2B продажам,862,,,,894,,TRUE,Активна,Менеджмент,Сергей Маз,https://kursy.ru/menedzhment/b2b-prodazhi/,b2b-prodazhi,Курсы B2B продажам - рейтинг обучения на [current_year] год,Рейтинг курсов по B2B продажам. Сравните обучающие программы от лучших онлайн-школ в [current_year] году. Подборки предложений курсов с описанием и отзывами. ,Курсы по B2B продажам,Курсы B2B продаж,Готово,Обучение B2B-продажам.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,652,Курсы управления продажами,
Курсы юнит экономики,863,,,,1 407,,TRUE,Активна,Менеджмент,Сергей Маз,https://kursy.ru/menedzhment/unit-ekonomika/,unit-ekonomika,Курсы юнит-экономика: обучение онлайн,"Подборка курсов ""юнит-экономика"". Станьте специалистом в экономике. Рейтинг курсов, цен и отзывов лучших школ на [current_year] год.",Курсы юнит-экономики,курсы юнит экономика,Готово,Курсы юнит-экономики.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,648,Обучение управлению бизнесом,
Курсы bpmn,864,,,,3 174,,TRUE,Активна,Менеджмент,Ваня Б,https://kursy.ru/menedzhment/bpmn/,bpmn,Курсы BPMN онлайн-обучение моделированию бизнес-процессов,Подборка лучших курсов BPMN. Обучение с нуля по современной программе с реальными отзывами. Сравните и выберите предложение подходящее вам.,Курсы BPMN,Курсы bpmn,Готово,Курсы BPMN.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,648,Обучение управлению бизнесом,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Курсы по работе с офисными программами,659,,,TRUE,47,4,TRUE,Активна,Прикладные программы,,https://kursy.ru/prikladnye-programmy/,prikladnye-programmy,Курсы по работе с офисными программами - обучение Microsoft Office и Google Docs онлайн,Курсы по работе с офисными программами MS Office и Google Docs. Обучение работе с таблицами и документами Word. Упростите свою работу раз и навсегда.,Курсы по работе с офисными программами,https://docs.google.com/document/d/1Z00K1133Jph9ltjjSfMRB7YDzJ6YIRi5P3Bir82g5QQ/edit,Готово,https://docs.google.com/document/d/1Wvl9WiJQMZAuXto4PBLM7V9bT7-ql1KU1WeItOPX4sM/edit,Не в работе,Готово,https://drive.google.com/file/d/1F1L3mIyC0saO2To4HLJEpmWxCqSciIZR/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,,Главная,
Курсы Excel,660,,,TRUE,177 791,14 816,TRUE,Активна,Прикладные программы,,https://kursy.ru/prikladnye-programmy/excel/,excel,Курсы Excel (Эксель) обучение для начинающих с нуля онлайн,Онлайн курсы по работе в Excel (Эксель) для начинающих. Ознакомьтесь с программами обучения и отзывами наших пользователей. Получите продвинутый уровень знаний и станьте специалистом.,Курсы по Excel,https://docs.google.com/document/d/1ICRQZsLY6AsY5XzL5zQre5QOfSSBHz4bM49QC6H5Hlg/edit,Готово,https://docs.google.com/document/d/1Wx7QIcTvcnHYUbLQo9TmIWNE7CYhjS9NRDg_I4SKEjg/edit,Не в работе,Готово,https://drive.google.com/file/d/1a2xOnSN3VfjP2PvbPT-S1GqeohnE4L0M/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,659,Курсы по работе с офисными программами,
Курсы PowerPoint,662,,,TRUE,34 883,2 907,TRUE,Активна,Прикладные программы,,https://kursy.ru/prikladnye-programmy/powerpoint/,powerpoint,Курсы по презентациям - обучение PowerPoint онлайн с нуля,Онлайн-курсы по созданию презентаций для начинающих. Ознакомьтесь с программой обучения и отзывами наших пользователей. Станьте специалистом в PowerPoint.,Курсы по PowerPoint,https://docs.google.com/document/d/11dEuibVM8DXMTdahlIlRuZq-S73YNp-bbPeVL0tUKGM/edit,Готово,https://docs.google.com/document/d/1403v8y282I-z9fYqtFQyLLelF7Dq8mTnptfxcOhFT_c/edit,Не в работе,Готово,https://drive.google.com/file/d/1_I7lMhnkzgApm6kEIi_tbs05K1eFpyV9/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,659,Курсы по работе с офисными программами,
Курсы по гугл таблицам,661,,,TRUE,34 997,2 916,TRUE,Активна,Прикладные программы,,https://kursy.ru/prikladnye-programmy/google-tablitsy/,google-tablitsy,"Курсы по гугл таблицам, обучение работе с нуля",Курсы по работе с гугл таблицами. Ознакомьтесь с условиями и выберети для себя подходяшую программу обучения. Список предложений онлайн-школ.,Онлайн-курсы по работе с гугл таблицами,https://docs.google.com/document/d/1_gN8Tx_FdzMWrLNDOoJIHWIH64KzJk-im5ZoJkMkHO4/edit,Готово,https://docs.google.com/document/d/108stec5voAQYLuamL4nbHGaDOX0Ye45xRBB6HMNef9g/edit,Не в работе,Готово,https://drive.google.com/file/d/1KoUDGnyCXNyNej9U5dkvwF5HEnu1Xp5X/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,659,Курсы по работе с офисными программами,
Курсы Word,663,,,TRUE,35 606,2 967,TRUE,Активна,Прикладные программы,,https://kursy.ru/prikladnye-programmy/word/,word,Курсы Microsof Word для начинающих с обучением онлайн,Курсы  Word для начинающих. Ознакомьтесь с отзывами пользователей и выберите подходящую для себя программу обучения. Станьте специалистом в пользовании программой от Microsof.,Курсы Word,https://docs.google.com/document/d/1_M60ObDl5RwY0AwCIDzrEcJLYpU2o6wJwNYQy3Qr8g8/edit,Готово,https://docs.google.com/document/d/1Dq321PJRoWM-rSeTZku4Q19O99tTMICj0oSAp_0EIT0/edit,Не в работе,Готово,https://drive.google.com/file/d/1jCOtuULUpev_vNFT0WbjmHrqDfn3USrq/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,659,Курсы по работе с офисными программами,
Курсы ms access,839,,,,3 505,,TRUE,Активна,Прикладные программы,Ваня Б,https://kursy.ru/prikladnye-programmy/microsoft-access/,microsoft-access,Курсы Microsoft Access - онлайн-курс для начинающих с нуля,Курсы Microsoft Acces для начинающих. Получи профессию в удобном дистанционном формате. Посмотрите нашу подборку из лучших онлайн-школ и выберите подходящий вариант.,Курсы Microsoft Access,Курсы ms access,Готово,Курсы MS Access.docx,Готово,Готово,,Не в работе,,,Готово,,Готово,"Оформимть текст в аккордеон, добавить шорткоды в лид",Проиндексированно,,,659,Курсы по работе с офисными программами,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Курсы программирования,664,,,TRUE,1 226 844,102 237,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/,programmirovanie,Курсы программирования - обучение с нуля онлайн для начинающих,Курсы по программированию в лучших онлайн-школах. Получи востребованную профессию в IT с нуля. Выбери подходящее предложение и начни обучение уже сегодня.,Курсы по программированию,https://docs.google.com/document/d/11AZsF4K7tB3pC0h6eHBucROKiR-gjvnwguEmedqi5Y0/edit,Готово,https://docs.google.com/document/d/1D5cW8Rej1uBFEOoYhzDk4aK7-JumpMRxZ4jFhbDci3w/edit,Не в работе,Готово,https://drive.google.com/file/d/1yjHMAT0hDFGL-qbomMqvBLG-4E3yR9RJ/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,,Главная,
Курсы IT,847,,,,179 784,14982,TRUE,Не создана,Программирование,Иван,https://kursy.ru/programmirovanie/it/,it,Курсы IT-специалистов с нуля онлайн - обучение от лучших школ,Курсы IT специалистов для начинающих. Обучение самым востребованным направлениям в айти. Рейтинг лучших предложений от лидирующих онлайн-школ.,Курсы IT-специалистов,,Готово,https://docs.google.com/document/d/1fgmwfmhxAQk0uQbKnT84YI02l8GBS0D41DuO739HFGA/edit,Не в работе,Готово,,Не в работе,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,664,Курсы программирования,
Курсы SQL,698,,,FALSE,95 568,7 964,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/sql/,sql,Курсы SQL - обучение с нуля для начинающих разработчиков,Онлайн курсы языку программирования SQL. Ознакомьтесь с отзывами пользователей и выберети подходяшую для себя программу обучения.,Курсы SQL,https://docs.google.com/document/d/1zDzylfEe1sYHmoL1yTWTxAc2FEaKoljwHOHbB88Ftg0/edit,Готово,https://docs.google.com/document/d/1ScBbtV0JtvS1Z0XZUVsr4iR2k_2jY9s0tr677zvr9kM/edit,Не в работе,Готово,https://drive.google.com/file/d/1hjfPUDykY32JYCzl9yISiic56b-4-3Pw/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,710,Курсы по базам данных,
Курсы робототехники,721,,,FALSE,66 684,5 557,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/robototehnika/,robototehnika,Курсы робототехники - обучение программированию роботов онлайн,Подборка лучших онлайн-курсов по роботехнике. Обучитесь с нуля основам разработке технических систем. Сравните и выберите лучшее предложения из списка.,Курсы по робототехнике,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/11VcPzDlzw9WYeR8Lq7fWVbQfqPiABW1OAwA_BE82E5w/edit#,Не в работе,Готово,https://drive.google.com/file/d/1aOPG4q9CnmM_f9mwjkJYSiJYxs3d5pgz/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,664,Курсы программирования,
Курсы по созданию сайтов,723,,,FALSE,59 940,4 995,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/sozdanie-saytov/,sozdanie-saytov,Курсы по созданию сайтов - обучение разработке с нуля онлайн,Курсы по созданию сайтов с нуля. Обучение разработки для начинающих. Все предложения онлайн-школ в одном месте. Актуальные условия и отзывы пользователей.,Курсы по созданию сайтов,https://docs.google.com/document/d/1tOZ5t7IHjoVNLWJasHkJPeQW4u8w7yDrMsxEPDG1zcg/edit,Готово,https://docs.google.com/document/d/1aroOOSzK7s-TtYH8n_zYSIlK3tx_X2Y1u7-VwDjqkZw/edit,Не в работе,Готово,https://drive.google.com/file/d/1i03duKZwljdmJj5CfcYTxnosEw1gj_Eh/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,713,Курсы веб разработки,
Курсы по мобильной разработке,715,,,TRUE,56 043,4 670,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/mobilnaya-razrabotka/,mobilnaya-razrabotka,Курсы по разработке мобильных приложений - обучение онлайн с нуля,"Онлайн-курсы по мобильной разработке. Стань специалистом в области разработки, пройдя обучение. Получи достойную профессию в сфере IT.",Курсы мобильной разработки,https://docs.google.com/document/d/1C98tBwagcm_5SiroVexCr97NxMF4LOqbKkOelmNN-CM/edit,Готово,https://docs.google.com/document/d/1Z2Mb7_YLO6_mZrpBiZn5d_b7h67I1AS6lvkkSGcpyHI/edit#,Не в работе,Готово,https://drive.google.com/file/d/1mprveBRCsTf9o-SKsgJsXhq1H5fUWqtj/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,664,Курсы программирования,
Курсы по Unity,702,,,FALSE,45 984,3 832,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/unity/,unity,Курс Unity - обучение программированию с нуля для начинающих ,Курсы Unity-разработчиков. Обучение программированию в лучших онлайн-школах с нуля. Узнай что входит в программу и сколько зарабатывают профессионалы. ,Курсы по Unity,https://docs.google.com/document/d/1LEmC2QanZ1pOQbgUlc2nFb8yRCoKVF5Lfel6Utfh9AE/edit,Готово,https://docs.google.com/document/d/1yWSZO13UsHbBHpjfgdVVnnoecc8JDqngbrhdHlrnao4/edit,Не в работе,Готово,https://drive.google.com/file/d/1DJzwuudSCR1GHIFPvhZAAHss4fRf66GA/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,715,Курсы по мобильной разработке,
Курсы по разработке игр,720,,,TRUE,42 509,3 542,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/razrabotka-igr/ , ,"Курсы по разработке игр - обучение онлайн, рейтинг и отзывы пользователей","Любишь компьютерные игры и всегда мечтал научиться создавать собственные? Выбери из подборки лучших курсов то, что подходит именно тебе. Пройди обучение и начни зарабатывать на любимом деле.",Курсы по разработке игр,https://docs.google.com/document/d/1xqiFf1O7mf-bfWtWIhryB0Km1xePiG-NtAuDfANEX0Y/edit,Готово,https://docs.google.com/document/d/1arRVghrOAj33UuQQTbUSoS6IA1Z-nJPBzqHiKxzg5YY/edit,Не в работе,Готово,https://drive.google.com/file/d/1-CYh2Qebfk-VwCiAa2zl0cdOeMZKj0Ou/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,664,Курсы программирования,
Курсы по базам данных,710,,,TRUE,38 448,3 204,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/bazy-dannyh/,bazy-dannyh,Курсы по базам данных - обучение разработчиков с нуля в лучших школах,"Онлайн-курсы по обучению работе с базами данных. Разберетесь в теории: изучите принципы, которые обеспечивают высокую производительность и надежность хранения данных.",Курсы по базам данных,https://docs.google.com/document/d/1wr17t38WSI1t6A_O7XeGfMzoLQdhjyoftLO61Qp5Elk/edit,Готово,https://docs.google.com/document/d/1M-GRz3fkMq6ZGely0zhTJAa7eGqFUdYitIdxQczBJ5w/edit,Не в работе,Готово,https://drive.google.com/file/d/1ILWEYTlH1jyJbuUHjbjkhf3EiM6W7nqn/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,664,Курсы программирования,
Курсы Unreal Engine,703,,,FALSE,30 682,2 557,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/unreal-engine/,unreal-engine,Курс Unreal Engine - обучение в лучших онлайн-школах с нуля  ,Курсы по Unreal Engine для начинающих. Освой популярный игровой движок. Рейтинг программ обучения лучших онлайн-школ. Сравнение условий и отзывы реальных учеников.,Курсы по Unreal Engine,https://docs.google.com/document/d/1S0zrW5iqF-QLgX4S9cEU_xCkMdytjXAY7AERmhTpBCo/edit,Готово,https://docs.google.com/document/d/1O7FHY7KjA_7RYLHtu_fiDcROTq0XaqF0di1OsPMmQuk/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1jMHHeWzjkCP5wOftpr_y1w_SZhkDTN9w/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,720,Курсы по разработке игр,
Курсы React,695,,,FALSE,28 455,2 371,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/react/,react,Курсы ReactJS - обучение онлайн с нуля для начинающих разработчиков,Курсы React для начинающих. Профессиональные преподаватели и актуальные программы обучения от лучших онлайн-школ. Начни зарабатывать в сфере IT уже сегодня.,Курсы React,https://docs.google.com/document/d/19Y2vzqRXBMfAN4y5CvQo_A5YcTyps1V5i-oWAexIscM/edit,Готово,https://docs.google.com/document/d/1Cxl0tSQZSZsR4QwkY0Zbqrnb_a5umr-Q779dGycicOA/edit,Не в работе,Готово,https://drive.google.com/file/d/10s8D7pSrHllooo1XWtjHVOWoq5oUObQf/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,713,Курсы веб разработки,
Курсы DevOps ,676,,,FALSE,24 192,2 016,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/devops/,devops,Курсы DevOps - обучение с нуля в лучших онлайн-школах с отзывами,Курсы по DevOps обучению. Пройдите путь с нуля до профессионального уровня. Вы научитесь разбираться в инфраструктуре и поймете принципы разработки приложений.,Курсы DevOps ,https://docs.google.com/document/d/1Ar4FQ43xTqqhCOYsmwt0p6OU85SJ6xAcSLXyquXyp8g/edit,Готово,https://docs.google.com/document/d/1SdzGn2xHnsBLG3iyTH-cRWDJGCjk_M-iwv8af_EPsDE/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1hIdw7iKkSyOfMKc8CWlG6rSB1lWSmLZB/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,664,Курсы программирования,
Курсы HTML и CSS,682,,,FALSE,24 060,2 005,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/html-css/,html-css,Курсы по HTML и CSS - обучение верстке сайтов с нуля онлайн,Курсы HTML и CSS для начинающих и профессионалов. Освой навыки программирования и стань востребованным специалистом в веб-разработке. Научитесь создавать быстрые и удобные сайты с нуля.,Курсы HTML и CSS,https://docs.google.com/document/d/1JBNCXXU27PvAj6wPUb4wdsqZAulKMbnOMWK_vI7Szww/edit,Готово,https://docs.google.com/document/d/1ABKusEmTwXrmZyir4HiUO1uMq0vEdMr-1vzIDE-DAdE/edit?usp=sharing,Не в работе,Готово,https://drive.google.com/file/d/1pAWFdu_1-1tV3jJtStAC53NMRutF-Vjv/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,713,Курсы веб разработки,
Курсы веб разработки,713,,,TRUE,22 472,1 873,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/veb-razrabotka/ , ,Курсы Веб-разработчика - обучение с нуля в лучших онлайн-школах ,Курсы по Веб-разработке с нуля. Обучение в лучших онлайн-школах. Научитесь верстке сайтов на языках HTML и CSS. Учитесь новому и получайте востребованную профессию.,Курсы по веб-разработке,https://docs.google.com/document/d/1NHvaZjWX3fT0aCgvvGs6yN-uDp6_r4v1xQFyHZsO0oU/edit,Готово,https://docs.google.com/document/d/1d9Xh-WzxmwSiTo7bFZl4ay3K4avY3hNttgUbdefMRbg/edit,Не в работе,Готово,https://drive.google.com/file/d/1KHrmunmCp-loJPPV1JUlaEObuEGYXwim/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,664,Курсы программирования,
Курсы Flutter,727,,,FALSE,21 067,1 756,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/flutter/,flutter,Курсы Flutter - обучение программированию для начинающих ,"Стань профессионалом в разработке на Flutter. Большой рейтинг школ, удобное дистанционное обучение все это в нашей подборке. Заходи, выбирай и получай востребованную профессию.",Курсы Flutter,https://docs.google.com/document/d/1kiVOW2qaV0VlsA5qpTFkiWb_LRFKPFYuyf3HX_dXv0g/edit,Готово,https://docs.google.com/document/d/1GXZHQCrsvDYbHFo9p_QcctOyEFrTYq_8iwN-X4xSMtM/edit,Не в работе,Готово,https://drive.google.com/file/d/17dDICwo2lREwMFcKfdn3Pr0lxDTCIDPR/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,715,Курсы по мобильной разработке,
Курсы PostgreSQL,692,,,FALSE,20 778,1 732,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/postgresql/,postgresql,Курсы по PostgreSQL - обучение с нуля для начинающих,Агрегатор лучших онлайн-курсов по PostgreSQL. Обучитесь с нуля администрированию и управлению базами данных. Сравните и выберите подходящее предложение. ,Курсы по PostgreSQL,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1aWY5WGOemSXmekPwIqKNV9HfF35elDZzkuEl71-72BE/edit,Не в работе,Готово,https://drive.google.com/file/d/1Zm3GQVq8mjXC2GhP7T5LBXK3hvMZFAJh/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,710,Курсы по базам данных,
Курсы Django,726,,,FALSE,19 657,1 638,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/django/,django,Курсы Django - обучение с нуля в лучших онлайн-школах ,Курсы по Django в лучших онлайн-школах. Освой востребованный фреймворк дистанционно. Выбери подходящее предложение и начни обучение в онлайн формате.,Курсы Django,https://docs.google.com/document/d/17_q1mqtGPzQElxD4_ou8OvhNG0okEDNU2bwDSXrmD08/edit?usp=sharing,Готово,https://docs.google.com/document/d/1lRoefq3IkCnrXMpqjo6xUFp4tW2eytVu9AO5Kb_FyJQ/edit,Не в работе,Готово,https://drive.google.com/file/d/1OzxOwVrUw__WlSHbbaigpNhwbjVrcTWV/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,713,Курсы веб разработки,
Курсы Swift,699,,,FALSE,16 440,1 370,TRUE,Активна,Программирование,,https://kursy.ru/programmirovanie/swift/,swift,Курсы Свифт (Swift) - обучение с нуля онлайн,"Онлайн-курсы по программированию Swift. Обучение востребованной профессии с нуля в лучших онлайн-школах. Программы как для начинающих, так и профессионалов.",Курсы по Swift,https://docs.google.com/document/d/169tA6SVqfLR4H1ZE174JVKc6dGHXahnZZe2WUAirv7E/edit,Готово,https://docs.google.com/document/d/1EMP46bOrD_87T6gTJL_k1gQte_CjfY2AdrpqvfQhYik/edit,Не в работе,Готово,https://drive.google.com/file/d/17vrKA75j6njbIbS0zeAxGAojSoLUezIb/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Даниил Фам,,715,Курсы по мобильной разработке,
